name,city,region,country,review_url,stoarama_url,public_access_confidence
"Main Street Livecam, Canmore",Canmore,Alberta,Canada,https://www.youtube.com/watch?v=_0wPODlF9wU,https://stoarama.com/streams/76,definitely_possible
"Swinging Bridge",Willemstad,,Curaçao,https://www.youtube.com/watch?v=28U-t3fA9ks,https://stoarama.com/streams/21,definitely_possible
"Best Pancake Man",Chaweng,Surat Thani,Thailand,https://www.youtube.com/watch?v=e9T0L_POAOk,https://stoarama.com/streams/96,definitely_possible
"Leavenworth Main Street",Leavenworth,Washington,United States,https://www.youtube.com/watch?v=TmtVbezZaqg,https://stoarama.com/streams/17,definitely_possible
"Whistler Olympic Plaza",Whistler,British Columbia,Canada,https://www.youtube.com/watch?v=IEhDUXECe_k,https://stoarama.com/streams/3480,definitely_possible
"Newburyport Market Square",Newburyport,Massachusetts,United States,https://www.youtube.com/watch?v=VsuSbXPN93o,https://stoarama.com/streams/4062,definitely_possible
"Portsmouth Market Square",Portsmouth,New Hampshire,United States,https://www.youtube.com/watch?v=LkZZTkRHLVQ,https://stoarama.com/streams/4105,definitely_possible
"Rehoboth Boardwalk",Rehoboth Beach,Delaware,United States,https://www.youtube.com/watch?v=lq15dNFXISw,https://stoarama.com/streams/12868,definitely_possible
"Mambo Beach",Willemstad,,Curaçao,https://www.youtube.com/watch?v=loHbMM9JfCs,https://stoarama.com/streams/217,definitely_possible
"Huntington Beach Pier",Huntington Beach,California,United States,https://www.youtube.com/watch?v=mhQjsLBfOoY,https://stoarama.com/streams/31,definitely_possible
"Nieuwpoort Promenade",Nieuwpoort,Flanders,Belgium,https://www.youtube.com/watch?v=mU08nJaIlIg,https://stoarama.com/streams/3432,definitely_possible
"Albir Promenade",Albir,Alicante,Spain,https://www.youtube.com/watch?v=mdOqWWUxIJw,https://stoarama.com/streams/3598,definitely_possible
"Bremen Market Square",Bremen,,Germany,https://www.youtube.com/watch?v=SsyiWrkUjy4,https://stoarama.com/streams/3540,definitely_possible
